"Difficulty","Question"
"Easy","What is the capital of France?"
"Easy","How many days are in a week?"
"Easy","What color do you get by mixing blue and yellow?"
"Easy","What is 2 + 2?"
"Hard","What is the chemical symbol for tungsten?"
"Hard","In what year did the Byzantine Empire fall?"
"Hard","What is the derivative of sin(x)?"
"Hard","Name the smallest prime number greater than 100."
"Cringey","If you were a kitchen appliance which one would you be and why?"
"Cringey","What's the most embarrassing song on your playlist?"
"Cringey","Have you ever texted the wrong person something awkward?"
"Cringey","What's a nickname you secretly like being called?"
